genres,count
Drama,4520
Comedy,2294
Documentary,1942
Comedy|Drama,1264
Drama|Romance,1075
Comedy|Romance,757
Comedy|Drama|Romance,605
Horror,565
Crime|Drama,448
Drama|Thriller,426
Drama|War,399
Horror|Thriller,374
Crime|Drama|Thriller,304
Thriller,268
(no genres listed),246
Western,215
Action|Drama,210
Comedy|Crime,187
Action,178
Comedy|Horror,170
Action|Comedy,155
Action|Thriller,146
Horror|Sci-Fi,140
Comedy|Musical,135
Action|Crime|Thriller,127
Sci-Fi,122
Children|Comedy,119
Horror|Mystery|Thriller,115
Action|Crime|Drama,114
Comedy|Musical|Romance,113
Drama|Musical,112
Adventure|Drama,111
Action|Crime|Drama|Thriller,109
Action|Drama|Thriller,109
Action|Drama|War,107
Drama|Horror|Thriller,104
Drama|Mystery|Thriller,102
Crime|Thriller,102
Drama|Romance|War,101
Drama|Mystery,90
Comedy|Crime|Drama,89
Comedy|Documentary,89
Action|Adventure,86
Documentary|Musical,85
Drama|Horror,84
Action|Sci-Fi,83
Animation,83
Mystery|Thriller,83
Adventure,80
Comedy|Sci-Fi,78
Romance,77
Drama|Musical|Romance,77
Animation|Children,76
Crime|Drama|Romance,74
Children|Drama,74
Horror|Sci-Fi|Thriller,72
Crime|Drama|Film-Noir,71
Crime|Drama|Mystery|Thriller,71
Action|Adventure|Drama,70
Crime|Drama|Mystery,69
Drama|Sci-Fi,68
Adventure|Comedy,68
Action|Comedy|Crime,68
Action|Adventure|Sci-Fi,68
Action|Crime,67
Action|Sci-Fi|Thriller,66
Comedy|Western,65
Comedy|Fantasy,64
Documentary|War,63
Documentary|Drama,63
Drama|Western,59
Musical,58
Drama|Fantasy,57
Animation|Children|Comedy,56
Action|Adventure|Thriller,55
Action|Adventure|Fantasy,54
Animation|Comedy,53
Horror|Mystery,52
Crime|Mystery|Thriller,52
Adventure|Drama|Romance,52
Crime,52
Drama|Fantasy|Romance,48
Comedy|Drama|Musical,43
Drama|Film-Noir,43
Comedy|Fantasy|Romance,42
Adventure|Children,41
Sci-Fi|Thriller,41
Action|Adventure|Comedy,40
Drama|Romance|Thriller,40
Adventure|Fantasy,39
Action|Horror|Sci-Fi,39
Drama|Horror|Mystery|Thriller,38
Action|Comedy|Crime|Thriller,36
Comedy|Thriller,36
Adventure|Animation|Children|Comedy,36
Action|Adventure|Drama|War,36
Adventure|Animation|Children,34
Crime|Horror|Thriller,34
Comedy|War,33
Adventure|Children|Fantasy,33
Adventure|Children|Drama,33
War,32
Romance|Western,32
Drama|Mystery|Romance,32
Comedy|Drama|War,31
Adventure|Sci-Fi,31
Mystery,31
Children|Comedy|Fantasy,30
Comedy|Drama|Musical|Romance,30
Action|Horror,30
Action|Horror|Thriller,30
Comedy|Drama|Fantasy,29
Adventure|Drama|War,29
Comedy|Mystery,29
Action|Comedy|Drama,28
Crime|Drama|Film-Noir|Thriller,28
Fantasy|Horror,28
Crime|Documentary,28
Crime|Mystery,28
Comedy|Crime|Thriller,27
Comedy|Horror|Thriller,27
Fantasy,27
Comedy|Horror|Sci-Fi,27
Comedy|Crime|Mystery,26
Action|Adventure|Sci-Fi|Thriller,26
Adventure|Comedy|Drama,26
Action|Adventure|Fantasy|Sci-Fi,25
Action|Drama|Romance,25
Comedy|Drama|Thriller,25
Drama|Sci-Fi|Thriller,25
Action|Comedy|Sci-Fi,25
Drama|Film-Noir|Thriller,25
Action|War,24
Drama|Thriller|War,24
Children,24
Comedy|Crime|Romance,24
Adventure|Children|Comedy,24
Crime|Drama|Romance|Thriller,23
Comedy|Crime|Mystery|Thriller,23
Documentary|IMAX,23
Adventure|Comedy|Fantasy,23
Drama|Horror|Mystery,23
Action|Comedy|Romance,22
Romance|Thriller,22
Children|Comedy|Drama,22
Adventure|Animation|Children|Fantasy,22
Action|Western,22
Adventure|Documentary,22
Musical|Romance,22
Action|Horror|Sci-Fi|Thriller,21
Comedy|Fantasy|Horror,21
Drama|Horror|Sci-Fi,20
Drama|Romance|Western,20
Adventure|Comedy|Romance,19
Adventure|Comedy|Sci-Fi,19
Crime|Horror|Mystery|Thriller,19
Adventure|Romance,19
Adventure|Animation|Children|Comedy|Fantasy,18
Action|Adventure|Animation,18
Animation|Children|Fantasy,18
Comedy|Drama|Fantasy|Romance,18
Fantasy|Horror|Thriller,18
Action|Adventure|Sci-Fi|IMAX,18
Animation|Fantasy,18
Animation|Drama,17
Drama|Romance|Sci-Fi,17
Action|Mystery|Thriller,17
Action|Comedy|Thriller,17
Adventure|Western,17
Action|Adventure|Crime|Thriller,17
Action|Adventure|Drama|Thriller,16
Comedy|Crime|Drama|Thriller,16
Animation|Children|Musical,16
Documentary|Horror,16
Action|Comedy|Crime|Drama,16
Action|Adventure|War,16
Crime|Drama|Horror|Thriller,16
Adventure|Drama|Thriller,16
Drama|Fantasy|Mystery,15
Comedy|Drama|Mystery,15
Adventure|Animation|Comedy,15
Action|Animation|Sci-Fi,15
Film-Noir,14
Children|Comedy|Romance,14
Animation|Sci-Fi,14
Comedy|Crime|Drama|Romance,14
Action|Drama|Sci-Fi,14
Action|Fantasy|Sci-Fi,14
Drama|Mystery|Sci-Fi,13
Action|Drama|Romance|War,13
Action|Adventure|Comedy|Fantasy,13
Action|Animation,13
Comedy|Documentary|Drama,13
Crime|Film-Noir,13
Children|Comedy|Musical,13
Crime|Horror|Mystery,13
Adventure|Children|Comedy|Fantasy,13
Drama|Mystery|Romance|Thriller,12
Animation|Documentary,12
Action|Comedy|Horror,12
Children|Fantasy,12
Adventure|Drama|Fantasy,12
Action|Romance|Western,12
Horror|Mystery|Sci-Fi|Thriller,12
Mystery|Sci-Fi|Thriller,12
Crime|Film-Noir|Thriller,12
Film-Noir|Thriller,11
Action|Adventure|Western,11
Action|Adventure|Comedy|Crime,11
Action|Drama|Thriller|War,11
Adventure|Crime|Drama,11
Horror|Mystery|Sci-Fi,11
Action|Adventure|Drama|Romance,11
Drama|Mystery|Sci-Fi|Thriller,11
Action|Drama|Sci-Fi|Thriller,11
Drama|Film-Noir|Mystery,11
Comedy|Drama|Sci-Fi,11
Action|Adventure|Romance,10
Animation|Comedy|Sci-Fi,10
Animation|Comedy|Fantasy,10
Action|Crime|Drama|Mystery|Thriller,10
Adventure|War,10
Adventure|Drama|Western,10
Action|Crime|Mystery|Thriller,10
Adventure|Drama|Sci-Fi,10
Crime|Drama|Film-Noir|Mystery,10
Action|Drama|Western,10
Comedy|Drama|Horror,10
Comedy|Crime|Drama|Mystery,10
Animation|Musical,10
Crime|Drama|Horror,9
Action|Adventure|Drama|Fantasy,9
Comedy|Horror|Mystery|Thriller,9
Comedy|Drama|Romance|War,9
Drama|Horror|Romance,9
Adventure|Comedy|Musical,9
Adventure|Animation,9
Fantasy|Sci-Fi,9
Drama|Fantasy|Horror,9
Action|Adventure|Drama|Romance|War,9
Thriller|War,9
Action|Comedy|Crime|Drama|Thriller,9
Adventure|Animation|Fantasy,9
Animation|Children|Comedy|Musical,9
Action|Adventure|Comedy|Romance,9
Action|Fantasy,9
Action|Fantasy|Horror,9
Action|Comedy|Fantasy,9
Comedy|Fantasy|Musical,9
Documentary|Sci-Fi,8
Comedy|Crime|Drama|Mystery|Thriller,8
Drama|Fantasy|Sci-Fi,8
Crime|Film-Noir|Mystery|Thriller,8
Animation|Drama|Fantasy,8
Action|Adventure|Animation|Children,8
Action|Romance,8
Action|Comedy|Western,8
Adventure|Fantasy|Sci-Fi,8
Animation|Children|Fantasy|Musical,8
Crime|Drama|Mystery|Romance|Thriller,8
Drama|Fantasy|Horror|Mystery|Thriller,8
Romance|Sci-Fi,8
Comedy|Horror|Sci-Fi|Thriller,8
Comedy|Horror|Mystery,8
Crime|Horror,8
Crime|Drama|Horror|Mystery|Thriller,8
Adventure|Children|Sci-Fi,8
Children|Drama|Fantasy,8
Action|Adventure|Comedy|Sci-Fi,8
Horror|Romance,8
Drama|Fantasy|Mystery|Romance,8
Comedy|Mystery|Thriller,8
Action|Adventure|Animation|Fantasy|Sci-Fi,8
Action|Thriller|War,8
Animation|Comedy|Drama,7
Adventure|Children|Comedy|Drama,7
Fantasy|Horror|Mystery,7
Adventure|Comedy|Crime,7
Adventure|Romance|Western,7
Mystery|Romance|Thriller,7
Action|Adventure|Fantasy|Horror,7
Drama|Horror|Sci-Fi|Thriller,7
Action|Animation|Comedy,7
Action|Animation|Fantasy,7
Documentary|Drama|War,7
Action|Comedy|Drama|Romance,7
Crime|Drama|Film-Noir|Romance,7
Comedy|Romance|Thriller,7
Comedy|Romance|Sci-Fi,7
Comedy|Musical|Western,7
Comedy|Horror|Romance,7
Action|Drama|Fantasy,7
Children|Comedy|Sci-Fi,7
Adventure|Animation|Children|Musical,7
Animation|Drama|Romance,7
Animation|Comedy|Musical,7
Comedy|Romance|Western,6
Adventure|Fantasy|Romance,6
Action|Adventure|Crime|Drama|Thriller,6
Animation|Children|Comedy|Fantasy,6
Drama|Romance|Thriller|War,6
Animation|Horror,6
Action|Adventure|Animation|Fantasy,6
Action|Sci-Fi|Thriller|IMAX,6
Action|Adventure|Animation|Children|Comedy,6
Comedy|Drama|Mystery|Thriller,6
Action|Adventure|Children|Comedy,6
Musical|Western,6
Comedy|Documentary|Musical,6
Action|Adventure|Children|Fantasy,6
Comedy|Drama|Mystery|Romance,6
Drama|Mystery|War,6
Action|Adventure|Drama|Romance|Western,6
Documentary|Mystery,6
Fantasy|Romance,6
Children|Fantasy|Musical,6
Action|Fantasy|Horror|Thriller,6
