movieId,title,rating_count
296,Pulp Fiction (1994),67310
356,Forrest Gump (1994),66172
318,Shawshank Redemption, The (1994),63366
593,Silence of the Lambs, The (1991),63299
480,Jurassic Park (1993),59715
260,Star Wars: Episode IV - A New Hope (1977),54502
110,Braveheart (1995),53769
589,Terminator 2: Judgment Day (1991),52244
2571,Matrix, The (1999),51334
527,Schindler's List (1993),50054
1,Toy Story (1995),49695
457,Fugitive, The (1993),49581
150,Apollo 13 (1995),47777
780,Independence Day (a.k.a. ID4) (1996),47048
50,Usual Suspects, The (1995),47006
1210,Star Wars: Episode VI - Return of the Jedi (1983),46839
592,Batman (1989),46054
1196,Star Wars: Episode V - The Empire Strikes Back (1980),45313
2858,American Beauty (1999),44987
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),44980
590,Dances with Wolves (1990),44208
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),43295
608,Fargo (1996),43272
47,Seven (a.k.a. Se7en) (1995),43249
380,True Lies (1994),43159
588,Aladdin (1992),41842
377,Speed (1994),41562
1270,Back to the Future (1985),41426
858,Godfather, The (1972),41355
2959,Fight Club (1999),40106
2762,Sixth Sense, The (1999),39028
364,Lion King, The (1994),38991
344,Ace Ventura: Pet Detective (1994),38226
4993,Lord of the Rings: The Fellowship of the Ring, The (2001),37553
648,Mission: Impossible (1996),37127
2028,Saving Private Ryan (1998),37110
1580,Men in Black (a.k.a. MIB) (1997),35580
595,Beauty and the Beast (1991),35138
500,Mrs. Doubtfire (1993),34392
367,Mask, The (1994),34384
5952,Lord of the Rings: The Two Towers, The (2002),33947
165,Die Hard: With a Vengeance (1995),33940
597,Pretty Woman (1990),33900
1240,Terminator, The (1984),33429
1136,Monty Python and the Holy Grail (1975),33024
3578,Gladiator (2000),32878
153,Batman Forever (1995),32867
1097,E.T. the Extra-Terrestrial (1982),32685
1197,Princess Bride, The (1987),32586
736,Twister (1996),32446
34,Babe (1995),32255
1721,Titanic (1997),32238
231,Dumb & Dumber (Dumb and Dumber) (1994),32085
1265,Groundhog Day (1993),32026
4306,Shrek (2001),31972
316,Stargate (1994),31799
7153,Lord of the Rings: The Return of the King, The (2003),31577
733,Rock, The (1996),31353
1291,Indiana Jones and the Last Crusade (1989),31280
1214,Alien (1979),30933
541,Blade Runner (1982),30526
4226,Memento (2000),30443
1036,Die Hard (1988),30399
1193,One Flew Over the Cuckoo's Nest (1975),29932
2628,Star Wars: Episode I - The Phantom Menace (1999),29574
349,Clear and Present Danger (1994),29571
587,Ghost (1990),29488
2716,Ghostbusters (a.k.a. Ghost Busters) (1984),29381
10,GoldenEye (1995),29005
539,Sleepless in Seattle (1993),28805
586,Home Alone (1990),28348
1073,Willy Wonka & the Chocolate Factory (1971),28335
1704,Good Will Hunting (1997),28324
208,Waterworld (1995),27775
357,Four Weddings and a Funeral (1994),27699
1527,Fifth Element, The (1997),27660
1089,Reservoir Dogs (1992),27635
253,Interview with the Vampire: The Vampire Chronicles (1994),27568
1221,Godfather: Part II, The (1974),27398
1200,Aliens (1986),27206
2997,Being John Malkovich (1999),27160
3793,X-Men (2000),26846
1617,L.A. Confidential (1997),26836
1213,Goodfellas (1990),26406
329,Star Trek: Generations (1994),26404
39,Clueless (1995),26254
292,Outbreak (1995),26246
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),25804
454,Firm, The (1993),25689
6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),25257
924,2001: A Space Odyssey (1968),25253
3996,Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000),25090
434,Cliffhanger (1993),24940
1206,Clockwork Orange, A (1971),24694
2683,Austin Powers: The Spy Who Shagged Me (1999),24651
185,Net, The (1995),24618
1961,Rain Man (1988),24591
1923,There's Something About Mary (1998),24582
2396,Shakespeare in Love (1998),24521
111,Taxi Driver (1976),24481
1682,Truman Show, The (1998),24372
4973,Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001),24349
912,Casablanca (1942),24349
21,Get Shorty (1995),24116
6,Heat (1995),23899
4963,Ocean's Eleven (2001),23769
223,Clerks (1994),23695
4886,Monsters, Inc. (2001),23657
5445,Minority Report (2002),23642
161,Crimson Tide (1995),23628
288,Natural Born Killers (1994),23610
778,Trainspotting (1996),23589
6377,Finding Nemo (2003),23569
919,Wizard of Oz, The (1939),23445
1258,Shining, The (1980),23410
5349,Spider-Man (2002),23404
