genres,avg_rating
Adventure|Children|Mystery,5.0
Adventure|Drama|Fantasy|Musical,5.0
Adventure|Children|Comedy|Documentary|Drama,5.0
Drama|Film-Noir|Mystery|Romance|Sci-Fi,4.5
Comedy|Crime|Film-Noir,4.5
Comedy|Drama|Horror|Romance,4.5
Crime|Fantasy|Film-Noir|Thriller,4.5
Action|Comedy|Crime|Fantasy|Thriller,4.5
Children|Drama|Thriller,4.5
Documentary|Drama|Mystery,4.333333333333333
Action|Adventure|Mystery|Romance|Thriller,4.233538107122288
Action|Crime|Drama|IMAX,4.212306121456702
Action|Adventure|Crime|Drama|Thriller,4.19956567320653
Film-Noir|Romance|Thriller,4.1977899432279
Film-Noir|Mystery,4.181754931652615
Adventure|Animation|Fantasy,4.17997542997543
Crime|Film-Noir|Mystery,4.1746244962754915
Action|Adventure|Comedy|Fantasy|Romance,4.173275651216827
Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,4.156172003137702
Animation|Children|Drama|Fantasy,4.149544626593807
Crime|Film-Noir|Thriller,4.1327627923649075
Comedy|Musical|War,4.12935368043088
Crime|Thriller|War,4.128504672897196
Animation|Children|Comedy|Crime,4.124950495049505
Film-Noir|Mystery|Thriller,4.123218874094838
Action|Adventure|Western,4.108227680929741
Action|Comedy|Crime|Drama|Musical|Thriller,4.105263157894737
Comedy|Crime|Drama|Thriller,4.101695945781619
Adventure|Animation|Drama|Fantasy|Sci-Fi,4.089360430364614
Drama|Film-Noir|Romance,4.088990267639903
Adventure|Comedy|Romance|War,4.081771720613288
Action|Adventure|Drama|Fantasy,4.075956829312534
Animation|Drama|War,4.073196821515892
Comedy|Crime|Mystery|Romance|Thriller,4.069916297390448
Comedy|Drama|Musical|Sci-Fi,4.068371943371943
Action|Adventure|Animation|Drama|Fantasy,4.06800919448331
Adventure|Animation|Fantasy|Romance,4.063241806908769
Crime|Horror,4.057753957122821
Crime|Film-Noir|Mystery|Thriller,4.0576772867420345
Comedy|Drama|Romance|War,4.057175535615324
Crime|Mystery|Thriller,4.050034702809
Action|Adventure|Animation|Crime|Sci-Fi,4.0423728813559325
Adventure|Animation|Children|Romance|Sci-Fi,4.038929040735874
Action|Adventure|Animation|Children|Fantasy|Sci-Fi,4.03462907199562
Adventure|Drama|Romance|Thriller|War,4.0341928251121075
Adventure|Animation|Children|Comedy|Sci-Fi,4.032196029776675
Comedy|Drama|Film-Noir,4.03062381852552
Sci-Fi|IMAX,4.023864289821737
Drama|Mystery|Western,4.021327239836237
Drama|Sci-Fi|War,4.020861148197596
Action|Drama|Mystery|Romance|Thriller,4.019818799546999
Action|Documentary|Drama|Thriller,4.013636363636364
Comedy|Crime|Drama|Fantasy,4.005797101449275
Action|Adventure|Horror|Sci-Fi,4.003007960089505
Crime|Drama,4.001199143377327
Action|Adventure|Crime|IMAX,4.00020964360587
Comedy|Mystery|Romance|Western,4.0
Action|Film-Noir|Sci-Fi,4.0
Children|Comedy|Horror,4.0
Comedy|Documentary|Horror,4.0
Action|Children|Fantasy|Sci-Fi,4.0
Children|Drama|Fantasy|Musical,4.0
Adventure|Animation|Drama|Sci-Fi,4.0
Action|Comedy|Musical|Romance,4.0
Adventure|Documentary|Drama|Thriller,4.0
Action|Adventure|Fantasy|Musical|Romance,4.0
Crime|Drama|Fantasy|Romance|Thriller,4.0
Action|Documentary|Drama|War,4.0
Action|Adventure|Drama|Western,3.995655025414002
Crime|Mystery|Romance|Thriller,3.993547726341663
Crime|Horror|Thriller,3.991427680798005
Crime|Drama|Film-Noir|Thriller,3.986860025220681
Crime|Sci-Fi,3.9814814814814814
Drama|War,3.9813727864007147
Animation|Comedy|Drama,3.9753086419753085
Mystery|Thriller,3.9739020834843397
Action|Crime|IMAX,3.970753505298084
Adventure|Children|Fantasy|Musical,3.967152055889904
Fantasy|Sci-Fi,3.9669432285882276
Comedy|Mystery|Thriller,3.9603974251329417
Adventure|Drama|Fantasy|Mystery|Sci-Fi,3.952230046948357
Action|Adventure|Drama|Fantasy|Mystery|IMAX,3.948984707946854
Crime|Drama|War,3.9489795918367347
Drama|Fantasy|Horror|Romance,3.9417565485362096
Drama|Film-Noir|Mystery|Romance,3.938258386866524
Drama|Horror|Mystery,3.9364753658064933
Adventure|Comedy|Fantasy|Musical,3.93640350877193
Animation|Documentary|Drama|War,3.9284304047384007
Crime|Documentary|War,3.9265822784810127
Animation|Comedy|Drama|Romance|Sci-Fi,3.9247448979591835
Crime|Drama|Sci-Fi|Thriller,3.9225148903111244
Drama|Western,3.918817802503477
Documentary|War,3.9179219182293266
Adventure|Animation|Comedy,3.9177167019027483
Action|Adventure|Comedy|Drama|Romance|War,3.9166666666666665
Drama|Fantasy|Thriller,3.9153776843369874
Crime|Fantasy|Horror,3.9123188405797102
Adventure|Fantasy,3.9106478069429484
Adventure|Animation|Comedy|Fantasy|Romance,3.9088656387665197
Drama|Mystery|Sci-Fi|Thriller,3.906860426618739
Adventure|Drama|War,3.9057540685333065
Action|Drama|Thriller|Western,3.9052685950413224
Animation|Drama,3.9023288147375736
Action|Drama|War,3.8976254301501827
Animation|Comedy|Fantasy|Sci-Fi,3.892361111111111
Adventure|Animation|Children|Comedy|Fantasy|IMAX,3.8919438285291945
Action|Adventure|Drama|Thriller|Western,3.8910138852501963
Mystery,3.8902826294061605
Adventure|Documentary,3.883110014104372
Film-Noir,3.882842963488125
